Temperature (°C),Thermal Conductivity (W/m·K)
0,87.6
200,67.4
400,54.8
600,46.1
800,39.8
1000,35.1
1200,31.3
1400,28.3
1600,25.8
1800,23.7
2000,21.9
2200,20.4
2400,19.1
2600,17.9
2800,16.9
3000,15.9
